ID,symbol,initvolume,tmr,brk,distance,istrade,isbreak,resultperiods,averageperiods,magnify,sub,cr,ca,sr,sa,signal,breakfirst
1,EURCHF,1000,1,100,30,True,False,1,120,1,20,11525,11535,-10,0,,False
2,EURNOK,1000,1,120,30,True,False,1,120,10,30,9647,9715,-68,-9,,False
3,CADJPY,1000,1,150,30,True,True,1,120,1,30,8475,8545,-70,-81,below,False
4,AUDCHF,1000,1,120,30,True,False,1,120,1,30,7356,7344,11,-3,,False
5,XAUUSD,1,1,200,30,True,True,1,120,1,30,10097,10032,65,7,,True
6,XBRUSD,100,1,150,30,True,True,1,120,1,50,10484,10591,-108,-29,,True
7,AUDCAD,1000,1,120,30,True,False,1,120,1,25,9940,9900,40,40,above,False
8,AUDJPY,1000,1,150,30,True,False,1,120,1,30,8424,8460,-35,-46,below,False
9,AUDNZD,1000,1,120,30,True,False,1,120,1,30,10714,10762,-48,-25,,False
10,CADCHF,1000,1,100,30,True,False,1,120,1,30,7400,7418,-18,-33,,False
11,AUDSGD,1000,1,120,30,True,False,1,120,1,30,10398,10394,5,8,,False
12,EURDKK,1000,1,50,20,False,True,1,120,0.7,50,106407,106404,3,42,,False
13,CHFSGD,1000,1,150,30,True,False,1,120,1,30,14135,14151,-15,16,,False
14,EURHKD,1000,1,150,30,True,True,1,120,10,30,9723,9695,29,60,,True
15,EURGBP,1000,1,100,30,True,False,1,120,1,30,8848,8881,-32,20,,False
16,CHFJPY,1000,1,150,30,True,True,1,120,1,30,11451,11517,-67,-59,,True
18,EURAUD,1000,1,210,30,True,False,1,120,1,30,15668,15705,-37,5,,False
19,EURCAD,1000,1,210,30,True,False,1,120,1,30,15575,15549,26,68,,False
20,EURJPY,1000,1,180,30,True,False,1,120,1,30,13198,13286,-89,-68,,False
21,EURNZD,1000,1,210,30,True,False,1,120,1,30,16786,16903,-118,-34,,False
22,EURPLN,1000,1,120,30,True,False,1,120,2,30,20780,20819,-39,-40,below,False
23,EURSEK,1000,1,70,20,False,True,1,120,10,30,9886,9914,-27,3,,False
24,EURSGD,1000,1,150,30,True,False,1,120,1,30,16290,16325,-35,19,,False
25,EURTRY,1000,1,180,30,True,False,1,120,5,30,9322,9386,-63,17,,False
26,EURZAR,1000,1,300,30,True,True,1,120,15,30,9645,9739,-94,-81,,False
27,NOKJPY,1000,1,150,30,True,False,1,120,0.2,30,6838,6837,2,-29,,False
28,NOKSEK,1000,1,100,30,True,False,1,120,1,20,10246,10203,43,12,,False
29,NZDCAD,1000,1,100,30,True,True,1,120,1,20,9278,9198,80,59,,True
30,NZDCHF,1000,1,100,30,True,False,1,120,1,30,6865,6824,42,14,,False
31,NZDJPY,1000,1,100,30,True,False,1,120,1,30,7862,7860,2,-24,,False
32,SGDJPY,1000,1,100,30,True,False,1,120,1,30,8101,8138,-37,-51,below,False
33,EURUSD,1000,1,180,30,True,True,1,120,1,30,12432,12395,37,75,above,True
34,USDJPY,1000,1,150,30,True,True,1,120,1,30,10616,10720,-104,-120,below,False
35,USDCAD,1000,1,150,30,True,False,1,120,1,30,12528,12545,-17,-21,,False
